products_id	products_name	products_description	products_price	products_pricerange	products_quantity	products_quantityunit	products_materials	products_deadline	products_save	products_capacity	products_capacityunit	makers_id	categorys_id	subcategorys_id	citys_id	products_taste	products_scene	products_star	products_text	products_eyecatch	products_photo2	products_photo3	products_local	products_recommend	register_time	register_person	products_show
31	くりーみぃすいーとぽてと	驚くほどしっとりでクリーミィーな食感のスイートポテトです。 なると金時を原料のうち70%と贅沢に使用。なると金時本来の美味しさを最大限に引き出すため、甘さは控えめ。冷やしても、温めても美味しい、徳島県の推奨する「とくしま特選ブランド」にも選ばれています。 ギフトにもおすすめ、ナチュラルな雰囲気の箱入りです。	900,3060	2	5,16	個	さつまいも（徳島県産なると金時）、白あん(砂糖、いんげん豆、水飴)、グラニュー糖、バター(乳成分を含む)、卵、生クリーム(乳成分を含む)、洋酒／香料	製造日から約90日（解凍後は当日中）	3			10	5	22	7	1	6			./img/img_products/31/31-1.jpg	./img/img_products/31/31-2.jpg		TRUE	TRUE	2020-12-14 0:00:00	Admin	TRUE
32	おいもまあむ	なかのファーム独自のしっとりした食感はそのままに、しっとり&ほんのり甘い新しいタイプの焼き菓子を作りました。トースターなどで軽く焼いていただくと新鮮なバターの香りとサクっとした食感が楽しめます。ありそうでなかった、懐かしくも新しい味に仕上がっています。手みやげにもおすすめの箱入りです	972	2	5	本	小麦粉、さつまいも（徳島県産なると金時）、バター(乳成分を含む)、グラニュー糖、白あん(砂糖、いんげん豆、水飴)、卵、生クリーム(乳成分を含む)、洋酒、黒ごま/香料	製造日より常温で約1か月間	1	5	本	10	5	22	7	1	1			./img/img_products/32/32-1.jpg	./img/img_products/32/32-2.jpg	./img/img_products/32/32-3.jpg	TRUE	TRUE	2020-12-14 0:00:00	Admin	TRUE
33	月へ鳴門へ	【瀬戸内ナンバー1のお土産を決める「瀬戸内おみやげコンクール」最優秀賞受賞商品】「故郷・徳島の素晴らしさを、より多くの方にお届けしたい」と、新しくお菓子を作りました。故郷・徳島の名産・鳴門金時を、本格的なフランス菓子に仕上げました。フランスの伝統的なサブレに、喜瀬さんの鳴門金時のクリームをたっぷりサンドしたお菓子です。鳴門金時の自然な甘さを、サブレの塩味が引き立ててくれています。材料の配分、サブレに対するクリームの配分の試作を幾度も重ねました。延べ200人の方に試食していただき、「早く商品化してほしい」という声に背中を押していただきました。シェフパティシエが、鳴門金時をペーストするところから、すべて手作りで、安心・安全にこだわってお作りしています。「フランスに憧れて、徳島に感謝して」その気持ちを、たっぷりサンドしてお届けします。新しい徳島の魅力を、感じていただける一品です。徳島の名産・阿波番茶にもぴったりです。	1782	4	10	個	小麦粉、鳴門金時、砂糖、バター、フラワーペースト、食用パーム油、生クリーム、植物油脂、牛乳、卵黄（卵を含む）、蜂蜜、水飴、ラム酒、脱脂粉乳、ゼラチン、塩、ココアバター、バニラオイル、乳化剤、香料	製造日より12日	2	5	袋	11	5	22	2	1	2			./img/img_products/33/33-1.jpg	./img/img_products/33/33-2.jpg	./img/img_products/33/33-3.jpg	TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
34	鳴門　第2ボタン	●本家松浦酒造とのコラボレーションスイーツ 「NARUTO DAI2 BOUTON」第１弾は、徳島の酒蔵・本家松浦酒造純米大吟醸の酒粕のサブレ。華やかで芳醇な香りが後をひく美味しさです。  ●こだわりのパッケージ フランスのアンティークのボタンの箱をモチーフにした、とっておきたくなるBOXを使用しています。箱についているボタンは、アンティークのため、形も色も大きさも様々。どんなボタンが届くか、お楽しみにしてください。  ●シェンパンに合う、塩スイーツ 大吟醸の酒粕をベースに、鳴門のうずしお、和三盆など、徳島由来のものを使用。隠し味には、イタリアのチーズ、グラナパダーノを使用しています。口に含むと、甘み（和三盆）、塩味（鳴門のうずしお）、コク（グラナパダーノ）、余韻（酒粕）が追いかけてきます。 １粒で様々な味わいがお楽しみいただけます。シャンパンに合わせたい塩スイーツです。  ●お勧めのシーン お酒を召し上がる方への贈り物や、ホームパーティーのお持たせなどに最適です。	1404	3	20	個	小麦粉、グラニュー糖、本家松浦酒造大吟醸酒粕、トレハロース、ショートニング、高梨バター、コーンスターチ、鳴門のうずしお、 グラナパダーノ、 和三盆（一部に乳成分・小麦を含む）	製造より28日	1			11	5	22	2	1	1			./img/img_products/34/34-1.jpg	./img/img_products/34/34-2.jpg	./img/img_products/34/34-3.jpg	FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
35	鳴門っ娘	なると金時と和三盆糖を練り合わせた深みのある味。	2055,3080,4005,4745,5950	5	10,15,20,24,30	個	さつま芋、和三盆糖、紫芋粉末	未開封の状態で14日	1			12	5	21	2	1	6			./img/img_products/35/35-1.jpg			TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
36	かりんとうまんじゅう	元祖あげたて!!「かりんとうまんじゅう」沖縄産黒糖を使用した黒糖饅頭を、香ばしくて風味の良い米油で揚げた奥深い黒糖味が特徴の『かりんとう』のような黒糖饅頭です。	151	1	1	個	砂糖、小麦粉、小豆、黒糖、水飴、米油、〇、〇	常温2日	1			13	5	21	2	1	1			./img/img_products/36/36-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	FALSE
37	名代　あん巻	ことらやの代表銘菓「名代あん巻」は創業以来素材にこだわり続け、変わらぬ味で親しまれています。良質の小豆あんを、阿波和三盆糖と濃厚な平飼い鶏卵を使用しふっくらと仕上げた生地で巻いた、まろやかで風味豊かな御菓子です。1994年・・・全国菓子博覧会「技術優秀賞」受賞2008年・・・全国菓子博覧会「名誉総裁賞」受賞	497,1134,1674,2700	1	1,2,3,5	本		真空パックは1週間	1			13	5	21	2	1	5			./img/img_products/37/37-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	FALSE
38	フィッシュカツ(津久司蒲鉾)	四国の近海で新鮮な魚を生のまま使用しとんかつ風に仕立てたました。飽きのこない逸品です。ソース　マヨネーズをつけて生食でどうぞ	324,540,1782	1	3,5,10	枚	魚肉(スケソウダラ、タチウオ、エソ、その他)、パン粉、植物油、植物性タンパク、食塩、ブドウ糖、タンパク加水分解物、オニオンエキス、カレー粉、唐辛子、加工澱粉、調味料（アミノ酸等）、野菜エキスパウダー、保存料(ソルビン酸等)、甘味料(スクラロース)、(一部に小麦・大豆・乳成分を含む)	1週間程度 　※お早めにお召し上がり下さい。	2			15	6	16	3	4	3			./img/img_products/38/38-1.jpg	./img/img_products/38/38-2.jpg		FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
39	竹ちくわ(津久司蒲鉾)	白身の魚の魚肉を石うすで練り上げ音竹にまきつけて焼き上げた昔ながらの逸品です。わさび醤油　しょうが醤油をつけて生食でどうぞ	324	1	3	本	エソ・タラ・イトヨリ・塩・澱粉・ブドウ糖 　ビタミンＣ・卵白・みりん・ 調味料（アミノ酸等） 　甘味料（ステビア）・保存料（ソルビット）	1週間程度 　※お早めにお召し上がり下さい。	2			15	6	16	3	4	3			./img/img_products/39/39-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
40	フィッシュカツ(谷ちくわ商店)	徳島で「カツ」と言えば、このかつ天！ 徳島独特のピリッとからいカレー風味のかつ天です。 ビールのお供に最高です。	475	1	5	枚	魚肉(ホッケ、ヒメジ、その他)、澱粉、パン粉、ブドウ糖、発酵調味料、卵白、食塩、砂糖、カレー粉、香辛料、玉ねぎエキス、ごま油、調味料(アミノ酸等)、甘味料(ステビア)、保存料(ソルビン酸)、(原材料の一部に小麦、乳、大豆を含む)	製造日より7日	2	250	g	16	6	16	3	4	5			./img/img_products/40/40-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
