subcategorys_id	subcategorys_name	categorys_id	register_time	register_person	update_time	update_person	subcategorys_show
1	果実酒	1	2020-12-7 12:00:00	Admin			TRUE
2	日本酒	1	2020-12-7 12:00:00	Admin			TRUE
3	焼酎	1	2020-12-7 12:00:00	Admin			TRUE
4	その他	1	2020-12-7 12:00:00	Admin			TRUE
5	お茶	2	2020-12-7 12:00:00	Admin			TRUE
6	ジュース	2	2020-12-7 12:00:00	Admin			TRUE
7	その他	2	2020-12-7 12:00:00	Admin			TRUE
8	穀物	3	2020-12-7 12:00:00	Admin			TRUE
9	果実	3	2020-12-7 12:00:00	Admin			TRUE
10	野菜	3	2020-12-7 12:00:00	Admin			TRUE
11	その他	3	2020-12-7 12:00:00	Admin			TRUE
12	魚介類	4	2020-12-7 12:00:00	Admin			TRUE
13	海藻類	4	2020-12-7 12:00:00	Admin			TRUE
14	その他	4	2020-12-7 12:00:00	Admin			TRUE
16	惣菜	6	2020-12-7 12:00:00	Admin			TRUE
17	調味料	6	2020-12-7 12:00:00	Admin			TRUE
18	ごはんの友	6	2020-12-7 12:00:00	Admin			TRUE
19	麺類	6	2020-12-7 12:00:00	Admin			TRUE
20	その他	6	2020-12-7 12:00:00	Admin			TRUE
21	和菓子	5	2020-12-7 12:00:00	Admin			TRUE
22	洋菓子	5	2020-12-7 12:00:00	Admin			TRUE
23	その他	5	2020-12-7 12:00:00	Admin			TRUE
24	布製品	7	2020-12-7 12:00:00	Admin			FALSE
25	キャラクターグッズ	7	2020-12-7 12:00:00	Admin			FALSE
26	その他	7	2020-12-7 12:00:00	Admin			TRUE
							
農産物（その他）							
おかず（ごはんの友）							
農産物（その他）							
