makers_id;makers_name;makers_address;makers_tel;makers_homepage;makers_netshop;shop_name;register_time;register_person;update_time;update_person;delete_time;delete_person;makers_show
1;株式会社　ハレルヤ;徳島県板野郡松茂町広島字北川向四ノ越30;088-699-7611;http://www.hallelujah.co.jp/;http://www.hallelujah-sweets.com/okaimono/;ハレルヤスイーツキッチン　松茂本店;2020-12-14 00:00:00;Admin;;;;;t
2;有限会社 日乃出本店;徳島県美馬市穴吹町穴吹字岩手24-7;0883-52-1061;https://www.budoumanju.com/;https://www.budoumanju.com/;有限会社 日乃出本店;2020-12-14 00:00:00;Admin;;;;;t
3;株式会社イルローザ;徳島県徳島市南沖洲5-6-20;088-664-1882;https://www.ilrosa.co.jp/;http://shop.ilrosa.jp;南沖洲工房店;2020-12-14 00:00:00;Admin;;;;;t
4;あづまや製菓有限会社;徳島県美馬郡つるぎ町貞光字町40番地;0883-62-2105;http://kinrobai.com/;;あづまや製菓;2020-12-14 00:00:00;Admin;;;;;t
5;(有)竹内製菓;徳島県徳島市八万町大野141-1;088-660-7228;https://takeuchiseika-bouuiro.com/;;大野橋店　国府店;2020-12-14 00:00:00;Admin;;;;;t
6;岡田製糖所;徳島県板野郡上板町泉谷;088-694-2020;http://www.wasanbon.co.jp/;http://www.wasanbon.co.jp/shop/;岡田糖源郷;2020-12-14 00:00:00;Admin;;;;;t
7;服部製糖所;徳島県阿波市吉野町西条東姥御前270;088-696-5270;https://awawasanbon.com/;https://awawasanbon.theshop.jp/;わんさんぼん;2020-12-14 00:00:00;Admin;;;;;t
8;小男鹿本舗富士屋本店;徳島県徳島市南二軒屋町一丁目;088-623-1118;http://www.saoshika.co.jp/;;二軒屋本店;2020-12-14 00:00:00;Admin;;;;;t
9;風土菓 岡萬本舗;徳島県名西郡石井町石井字石井444-2;0120-02-0038;https://okaman-group.com/;https://okaman.stores.jp/;石井本店;2020-12-14 00:00:00;Admin;;;;;t
10;株式会社 なかのファーム;徳島県板野郡北島町高房字百居内40番地13 北島町水辺交流プラザ✕;088-698-5279;http://nakano-farm.info/index.html;https://nakano-farm.stores.jp/;なかのファーム;2020-12-14 00:00:00;Admin;;;;;t
11;株式会社にしきおり;徳島県鳴門市瀬戸町中島田東山９;088-661-5566;http://www.frenchmonstar.com;https://frenchmonstar.stores.jp/;フレンチモンスター 瀬戸内フードアート;2020-12-14 00:00:00;Admin;;;;;t
12;有限会社鳳月坊;徳島県鳴門市撫養町小桑島字前浜84番地;088-685-6101;http://hohgetsubo.jp/;http://hohgetsubo.jp/order/narutokko.html;鳳月坊;2020-12-14 00:00:00;Admin;;;;;t
13;ことらや;徳島県鳴門市撫養町黒崎字松島234;088-685-1265;http://kotoraya.jp/;;ことらや;2020-12-14 00:00:00;Admin;;;;;f
14;元祖大判焼 あたりや;徳島県徳島市元町1-24 アミコビル 1F;088-652-9761;;;元祖 大判焼 あたりや;2020-12-14 00:00:00;Admin;;;;;f
15;津久司蒲鉾有限会社;徳島県小松島市南小松島町2-34;0885-33-2345;http://www.tsukushikamaboko.com/;http://tsukushikamabok.shop-pro.jp/;津久司蒲鉾;2020-12-14 00:00:00;Admin;;;;;t
16;（有）谷ちくわ商店;徳島県小松島市横須町3-59号;0885-32-0867;http://www.tanishouten.co.jp/;;有限会社 谷ちくわ商店;2020-12-14 00:00:00;Admin;;;;;t
17; 大野海苔株式会社;徳島県徳島市東沖洲2丁目24;0120-155-807;https://www.oononori.co.jp/;https://www.oononori.co.jp/;（有）谷ちくわ商店;2020-12-14 00:00:00;Admin;;;;;t
18;株式会社　柚りっ子;徳島県徳島市住吉１丁目９−３４;088-678-3383;https://yuzurikko.co.jp/;;柚りっ子 徳島住吉店;2020-12-14 00:00:00;Admin;;;;;t
19;八百秀商事株式会社;徳島県徳島市新町橋1丁目32番地;088-623-0111;https://www.yaohide.com/;https://www.yaohide.com/;八百秀商事株式会社;2020-12-14 00:00:00;Admin;;;;;t
20;徳島製粉株式会社;徳島県徳島市南二軒屋町3丁目1-8;088-622-9186;http://www.kinchan.co.jp/;;;2020-12-14 00:00:00;Admin;;;;;t
21;半田製麺株式会社;徳島県美馬郡つるぎ町半田字小野135;0883-64-2025;https://handa-soumen.com/;;;2020-12-14 00:00:00;Admin;;;;;t
